relation_type,token_length_bin,sentence_position_bin,frequency_bin,abs_head_dist_bin,n_before_raw,n_after_raw,n_pairs_kept
nsubj,3-4,11-15,"(4.22, 8.54]",3-4,2,2,2
nsubj,3-4,16-20,"(1.386, 2.197]",1-2,1,1,1
nsubj,3-4,16-20,"(2.197, 2.833]",1-2,5,2,2
nsubj,3-4,16-20,"(2.833, 3.497]",1-2,5,1,1
nsubj,3-4,16-20,"(2.833, 3.497]",3-4,1,1,1
nsubj,3-4,16-20,"(4.22, 8.54]",3-4,3,1,1
nsubj,3-4,21-25,"(2.197, 2.833]",3-4,1,4,1
nsubj,3-4,21-25,"(3.497, 4.22]",5-6,1,1,1
nsubj,3-4,21-25,"(4.22, 8.54]",1-2,2,1,1
nsubj,3-4,26-30,"(3.497, 4.22]",3-4,4,2,2
nsubj,3-4,31-35,"(1.386, 2.197]",3-4,1,1,1
nsubj,3-4,31-35,"(3.497, 4.22]",1-2,4,1,1
nsubj,3-4,31-35,"(4.22, 8.54]",1-2,1,1,1
nsubj,3-4,31-35,"(4.22, 8.54]",3-4,1,1,1
nsubj,3-4,46-50,"(1.386, 2.197]",5-6,1,1,1
nsubj,3-4,6-10,"(0.692, 1.386]",1-2,8,1,1
nsubj,3-4,6-10,"(0.692, 1.386]",3-4,4,3,3
nsubj,3-4,6-10,"(1.386, 2.197]",1-2,10,2,2
nsubj,3-4,6-10,"(2.833, 3.497]",1-2,13,1,1
nsubj,3-4,6-10,"(2.833, 3.497]",3-4,7,2,2
nsubj,3-4,6-10,"(3.497, 4.22]",1-2,24,1,1
nsubj,3-4,6-10,"(3.497, 4.22]",3-4,8,3,3
nsubj,3-4,6-10,"(4.22, 8.54]",1-2,10,5,5
nsubj,3-4,6-10,"(4.22, 8.54]",3-4,9,2,2
nsubj,5-6,1-5,"(0.692, 1.386]",1-2,40,5,5
nsubj,5-6,1-5,"(0.692, 1.386]",3-4,17,5,5
nsubj,5-6,1-5,"(1.386, 2.197]",1-2,35,4,4
nsubj,5-6,1-5,"(1.386, 2.197]",3-4,30,2,2
nsubj,5-6,1-5,"(2.197, 2.833]",1-2,36,8,8
nsubj,5-6,1-5,"(2.197, 2.833]",3-4,32,4,4
nsubj,5-6,1-5,"(2.833, 3.497]",1-2,28,12,12
nsubj,5-6,1-5,"(2.833, 3.497]",3-4,24,6,6
nsubj,5-6,1-5,"(3.497, 4.22]",1-2,39,8,8
nsubj,5-6,1-5,"(3.497, 4.22]",3-4,25,1,1
nsubj,5-6,1-5,"(4.22, 8.54]",1-2,60,5,5
nsubj,5-6,1-5,"(4.22, 8.54]",3-4,43,8,8
nsubj,5-6,11-15,"(0.692, 1.386]",1-2,8,2,2
nsubj,5-6,11-15,"(0.692, 1.386]",3-4,4,1,1
nsubj,5-6,11-15,"(1.386, 2.197]",1-2,7,3,3
nsubj,5-6,11-15,"(1.386, 2.197]",3-4,6,1,1
nsubj,5-6,11-15,"(2.197, 2.833]",1-2,15,2,2
nsubj,5-6,11-15,"(2.197, 2.833]",3-4,3,1,1
nsubj,5-6,11-15,"(2.197, 2.833]",5-6,3,2,2
nsubj,5-6,11-15,"(2.833, 3.497]",1-2,20,1,1
nsubj,5-6,11-15,"(2.833, 3.497]",3-4,9,1,1
nsubj,5-6,11-15,"(3.497, 4.22]",1-2,9,1,1
nsubj,5-6,11-15,"(4.22, 8.54]",1-2,22,4,4
nsubj,5-6,11-15,"(4.22, 8.54]",3-4,4,3,3
nsubj,5-6,16-20,"(0.692, 1.386]",1-2,7,2,2
nsubj,5-6,16-20,"(0.692, 1.386]",5-6,1,2,1
nsubj,5-6,16-20,"(1.386, 2.197]",1-2,5,1,1
nsubj,5-6,16-20,"(1.386, 2.197]",3-4,1,1,1
nsubj,5-6,16-20,"(2.197, 2.833]",3-4,7,1,1
nsubj,5-6,16-20,"(2.833, 3.497]",1-2,4,1,1
nsubj,5-6,16-20,"(2.833, 3.497]",3-4,2,3,2
nsubj,5-6,16-20,"(2.833, 3.497]",5-6,5,1,1
nsubj,5-6,16-20,"(3.497, 4.22]",3-4,3,1,1
nsubj,5-6,16-20,"(3.497, 4.22]",5-6,4,1,1
nsubj,5-6,16-20,"(4.22, 8.54]",1-2,14,1,1
nsubj,5-6,16-20,"(4.22, 8.54]",3-4,3,1,1
nsubj,5-6,21-25,"(0.692, 1.386]",1-2,7,1,1
nsubj,5-6,21-25,"(0.692, 1.386]",3-4,3,1,1
nsubj,5-6,21-25,"(1.386, 2.197]",1-2,2,1,1
nsubj,5-6,21-25,"(2.197, 2.833]",1-2,8,3,3
nsubj,5-6,21-25,"(2.833, 3.497]",1-2,9,1,1
nsubj,5-6,21-25,"(2.833, 3.497]",3-4,3,1,1
nsubj,5-6,21-25,"(3.497, 4.22]",3-4,2,1,1
nsubj,5-6,21-25,"(4.22, 8.54]",5-6,4,2,2
nsubj,5-6,26-30,"(3.497, 4.22]",1-2,4,1,1
nsubj,5-6,26-30,"(3.497, 4.22]",3-4,2,1,1
nsubj,5-6,26-30,"(4.22, 8.54]",3-4,2,1,1
nsubj,5-6,26-30,"(4.22, 8.54]",5-6,2,1,1
nsubj,5-6,31-35,"(0.692, 1.386]",3-4,1,1,1
nsubj,5-6,31-35,"(3.497, 4.22]",1-2,2,1,1
nsubj,5-6,31-35,"(3.497, 4.22]",5-6,1,1,1
nsubj,5-6,41-45,"(1.386, 2.197]",1-2,1,1,1
nsubj,5-6,51-55,"(0.692, 1.386]",1-2,1,1,1
nsubj,5-6,6-10,"(0.692, 1.386]",1-2,13,4,4
nsubj,5-6,6-10,"(0.692, 1.386]",3-4,6,4,4
nsubj,5-6,6-10,"(0.692, 1.386]",5-6,7,2,2
nsubj,5-6,6-10,"(1.386, 2.197]",3-4,8,5,5
nsubj,5-6,6-10,"(1.386, 2.197]",5-6,4,2,2
nsubj,5-6,6-10,"(2.197, 2.833]",1-2,20,1,1
nsubj,5-6,6-10,"(2.197, 2.833]",3-4,5,2,2
nsubj,5-6,6-10,"(2.197, 2.833]",5-6,10,2,2
nsubj,5-6,6-10,"(2.833, 3.497]",1-2,23,3,3
nsubj,5-6,6-10,"(2.833, 3.497]",3-4,9,4,4
nsubj,5-6,6-10,"(3.497, 4.22]",1-2,14,3,3
nsubj,5-6,6-10,"(3.497, 4.22]",3-4,9,5,5
nsubj,5-6,6-10,"(3.497, 4.22]",5-6,4,2,2
nsubj,5-6,6-10,"(4.22, 8.54]",1-2,29,2,2
nsubj,5-6,6-10,"(4.22, 8.54]",3-4,19,2,2
nsubj,5-6,6-10,"(4.22, 8.54]",5-6,5,3,3
nsubj,5-6,61-65,"(0.692, 1.386]",1-2,1,1,1
nsubj,7-8,1-5,"(0.692, 1.386]",1-2,33,2,2
nsubj,7-8,1-5,"(0.692, 1.386]",3-4,25,4,4
nsubj,7-8,1-5,"(1.386, 2.197]",1-2,23,3,3
nsubj,7-8,1-5,"(1.386, 2.197]",3-4,17,4,4
nsubj,7-8,1-5,"(2.197, 2.833]",1-2,37,3,3
nsubj,7-8,1-5,"(2.197, 2.833]",3-4,22,1,1
nsubj,7-8,1-5,"(2.833, 3.497]",3-4,16,5,5
nsubj,7-8,1-5,"(3.497, 4.22]",1-2,17,1,1
nsubj,7-8,1-5,"(3.497, 4.22]",3-4,6,6,6
nsubj,7-8,1-5,"(4.22, 8.54]",1-2,14,1,1
nsubj,7-8,11-15,"(0.692, 1.386]",1-2,10,1,1
nsubj,7-8,11-15,"(0.692, 1.386]",5-6,5,1,1
nsubj,7-8,11-15,"(1.386, 2.197]",3-4,7,3,3
nsubj,7-8,11-15,"(1.386, 2.197]",5-6,1,1,1
nsubj,7-8,11-15,"(2.197, 2.833]",1-2,11,2,2
nsubj,7-8,11-15,"(2.197, 2.833]",5-6,1,1,1
nsubj,7-8,11-15,"(2.833, 3.497]",5-6,3,1,1
nsubj,7-8,11-15,"(3.497, 4.22]",1-2,6,2,2
nsubj,7-8,11-15,"(3.497, 4.22]",3-4,1,1,1
nsubj,7-8,11-15,"(4.22, 8.54]",3-4,3,2,2
nsubj,7-8,11-15,"(4.22, 8.54]",5-6,1,2,1
nsubj,7-8,16-20,"(0.692, 1.386]",3-4,3,1,1
nsubj,7-8,16-20,"(2.197, 2.833]",3-4,9,1,1
nsubj,7-8,16-20,"(2.197, 2.833]",5-6,4,1,1
nsubj,7-8,16-20,"(2.833, 3.497]",3-4,4,2,2
nsubj,7-8,16-20,"(3.497, 4.22]",1-2,5,1,1
nsubj,7-8,16-20,"(4.22, 8.54]",1-2,2,1,1
nsubj,7-8,21-25,"(0.692, 1.386]",1-2,5,2,2
nsubj,7-8,21-25,"(0.692, 1.386]",3-4,2,1,1
nsubj,7-8,21-25,"(1.386, 2.197]",3-4,3,2,2
nsubj,7-8,21-25,"(2.197, 2.833]",1-2,3,1,1
nsubj,7-8,21-25,"(3.497, 4.22]",3-4,1,1,1
nsubj,7-8,26-30,"(0.692, 1.386]",3-4,1,1,1
nsubj,7-8,26-30,"(2.833, 3.497]",3-4,1,1,1
nsubj,7-8,36-40,"(0.692, 1.386]",5-6,1,1,1
nsubj,7-8,6-10,"(0.692, 1.386]",1-2,18,2,2
nsubj,7-8,6-10,"(0.692, 1.386]",3-4,6,1,1
nsubj,7-8,6-10,"(0.692, 1.386]",5-6,8,1,1
nsubj,7-8,6-10,"(1.386, 2.197]",1-2,9,1,1
nsubj,7-8,6-10,"(1.386, 2.197]",3-4,11,4,4
nsubj,7-8,6-10,"(1.386, 2.197]",5-6,4,1,1
nsubj,7-8,6-10,"(2.197, 2.833]",1-2,11,3,3
nsubj,7-8,6-10,"(2.197, 2.833]",3-4,7,1,1
nsubj,7-8,6-10,"(2.197, 2.833]",5-6,5,2,2
nsubj,7-8,6-10,"(2.833, 3.497]",1-2,11,3,3
nsubj,7-8,6-10,"(2.833, 3.497]",3-4,6,3,3
nsubj,7-8,6-10,"(3.497, 4.22]",1-2,14,1,1
nsubj,7-8,6-10,"(4.22, 8.54]",1-2,8,1,1
nsubj,7-8,6-10,"(4.22, 8.54]",5-6,2,1,1
nsubj,9-10,1-5,"(0.692, 1.386]",1-2,15,2,2
nsubj,9-10,1-5,"(0.692, 1.386]",3-4,15,3,3
nsubj,9-10,1-5,"(1.386, 2.197]",1-2,20,1,1
nsubj,9-10,1-5,"(1.386, 2.197]",3-4,8,2,2
nsubj,9-10,1-5,"(3.497, 4.22]",1-2,8,1,1
nsubj,9-10,1-5,"(4.22, 8.54]",1-2,5,1,1
nsubj,9-10,11-15,"(0.692, 1.386]",3-4,6,1,1
nsubj,9-10,11-15,"(0.692, 1.386]",5-6,4,1,1
nsubj,9-10,11-15,"(1.386, 2.197]",3-4,1,2,1
nsubj,9-10,11-15,"(2.833, 3.497]",1-2,2,1,1
nsubj,9-10,16-20,"(0.692, 1.386]",3-4,1,2,1
nsubj,9-10,16-20,"(2.833, 3.497]",3-4,1,1,1
nsubj,9-10,21-25,"(1.386, 2.197]",1-2,2,1,1
nsubj,9-10,31-35,"(0.692, 1.386]",1-2,2,1,1
nsubj,9-10,36-40,"(0.692, 1.386]",1-2,1,1,1
nsubj,9-10,36-40,"(2.197, 2.833]",1-2,1,1,1
nsubj,9-10,6-10,"(0.692, 1.386]",1-2,10,2,2
nsubj,9-10,6-10,"(0.692, 1.386]",5-6,6,1,1
nsubj,9-10,6-10,"(1.386, 2.197]",3-4,1,1,1
nsubj,9-10,6-10,"(1.386, 2.197]",5-6,9,2,2
nsubj,9-10,6-10,"(2.197, 2.833]",3-4,2,4,2
nsubj,9-10,6-10,"(2.197, 2.833]",5-6,4,1,1
nsubj,9-10,6-10,"(2.833, 3.497]",1-2,4,1,1
nsubj,9-10,6-10,"(3.497, 4.22]",3-4,2,1,1
nsubj:pass,3-4,6-10,"(3.497, 4.22]",5-6,1,1,1
nsubj:pass,5-6,1-5,"(1.386, 2.197]",3-4,5,1,1
nsubj:pass,5-6,1-5,"(3.497, 4.22]",3-4,2,5,2
nsubj:pass,5-6,6-10,"(0.692, 1.386]",3-4,1,1,1
nsubj:pass,5-6,6-10,"(1.386, 2.197]",3-4,1,1,1
nsubj:pass,5-6,6-10,"(2.833, 3.497]",5-6,1,1,1
nsubj:pass,7-8,1-5,"(0.692, 1.386]",3-4,5,2,2
nsubj:pass,7-8,1-5,"(1.386, 2.197]",3-4,3,1,1
nsubj:pass,7-8,1-5,"(2.833, 3.497]",3-4,3,1,1
nsubj:pass,7-8,6-10,"(2.833, 3.497]",5-6,1,1,1
nsubj:pass,9-10,1-5,"(0.692, 1.386]",3-4,3,1,1
nsubj:pass,9-10,1-5,"(2.833, 3.497]",3-4,3,3,3
nsubj:pass,9-10,6-10,"(1.386, 2.197]",5-6,1,1,1
obj,11-12,1-5,"(0.692, 1.386]",3-4,1,2,1
obj,11-12,1-5,"(1.386, 2.197]",3-4,1,2,1
obj,11-12,11-15,"(0.692, 1.386]",5-6,1,1,1
obj,11-12,6-10,"(0.692, 1.386]",1-2,1,20,1
obj,3-4,1-5,"(3.497, 4.22]",3-4,1,15,1
obj,3-4,11-15,"(4.22, 8.54]",1-2,1,63,1
obj,3-4,16-20,"(1.386, 2.197]",3-4,1,10,1
obj,3-4,21-25,"(3.497, 4.22]",3-4,1,3,1
obj,3-4,31-35,"(4.22, 8.54]",1-2,1,6,1
obj,3-4,6-10,"(0.692, 1.386]",3-4,1,19,1
obj,3-4,6-10,"(2.833, 3.497]",5-6,1,4,1
obj,3-4,6-10,"(3.497, 4.22]",3-4,1,48,1
obj,3-4,6-10,"(4.22, 8.54]",5-6,1,2,1
obj,5-6,1-5,"(1.386, 2.197]",1-2,1,56,1
obj,5-6,1-5,"(3.497, 4.22]",3-4,1,11,1
obj,5-6,1-5,"(4.22, 8.54]",1-2,1,44,1
obj,5-6,1-5,"(4.22, 8.54]",3-4,2,6,2
obj,5-6,11-15,"(2.833, 3.497]",1-2,1,51,1
obj,5-6,11-15,"(3.497, 4.22]",5-6,1,3,1
obj,5-6,16-20,"(4.22, 8.54]",1-2,1,26,1
obj,5-6,16-20,"(4.22, 8.54]",3-4,1,18,1
obj,5-6,21-25,"(3.497, 4.22]",3-4,1,9,1
obj,5-6,26-30,"(1.386, 2.197]",3-4,1,5,1
obj,5-6,26-30,"(2.197, 2.833]",1-2,1,12,1
obj,5-6,6-10,"(4.22, 8.54]",1-2,1,80,1
obj,5-6,6-10,"(4.22, 8.54]",5-6,1,8,1
obj,7-8,1-5,"(0.692, 1.386]",3-4,2,12,2
obj,7-8,1-5,"(1.386, 2.197]",3-4,1,9,1
obj,7-8,1-5,"(2.197, 2.833]",1-2,1,28,1
obj,7-8,11-15,"(3.497, 4.22]",3-4,1,17,1
obj,7-8,16-20,"(3.497, 4.22]",3-4,1,12,1
obj,7-8,21-25,"(2.197, 2.833]",5-6,1,1,1
obj,7-8,26-30,"(0.692, 1.386]",1-2,1,13,1
obj,7-8,31-35,"(0.692, 1.386]",3-4,1,5,1
obj,7-8,6-10,"(0.692, 1.386]",5-6,1,10,1
obj,7-8,6-10,"(1.386, 2.197]",3-4,2,22,2
obl,1-2,21-25,"(4.22, 8.54]",5-6,1,1,1
obl,11-12,1-5,"(0.692, 1.386]",3-4,1,2,1
obl,11-12,16-20,"(0.692, 1.386]",3-4,1,7,1
obl,11-12,16-20,"(2.197, 2.833]",5-6,1,4,1
obl,11-12,31-35,"(0.692, 1.386]",3-4,1,1,1
obl,11-12,6-10,"(0.692, 1.386]",3-4,1,10,1
obl,11-12,6-10,"(2.833, 3.497]",3-4,1,3,1
obl,13-14,11-15,"(1.386, 2.197]",5-6,1,6,1
obl,3-4,1-5,"(0.692, 1.386]",1-2,2,4,2
obl,3-4,1-5,"(1.386, 2.197]",3-4,1,1,1
obl,3-4,1-5,"(2.833, 3.497]",1-2,3,2,2
obl,3-4,1-5,"(2.833, 3.497]",3-4,8,7,7
obl,3-4,1-5,"(3.497, 4.22]",1-2,1,7,1
obl,3-4,1-5,"(3.497, 4.22]",3-4,19,9,9
obl,3-4,1-5,"(4.22, 8.54]",1-2,5,3,3
obl,3-4,1-5,"(4.22, 8.54]",3-4,25,15,15
obl,3-4,11-15,"(2.833, 3.497]",1-2,1,5,1
obl,3-4,11-15,"(2.833, 3.497]",5-6,1,27,1
obl,3-4,11-15,"(3.497, 4.22]",3-4,1,34,1
obl,3-4,11-15,"(3.497, 4.22]",5-6,1,43,1
obl,3-4,11-15,"(4.22, 8.54]",1-2,4,6,4
obl,3-4,11-15,"(4.22, 8.54]",3-4,1,50,1
obl,3-4,11-15,"(4.22, 8.54]",5-6,5,53,5
obl,3-4,16-20,"(0.692, 1.386]",5-6,1,11,1
obl,3-4,16-20,"(2.833, 3.497]",3-4,1,13,1
obl,3-4,16-20,"(3.497, 4.22]",1-2,1,6,1
obl,3-4,16-20,"(3.497, 4.22]",5-6,1,30,1
obl,3-4,16-20,"(4.22, 8.54]",1-2,1,1,1
obl,3-4,16-20,"(4.22, 8.54]",3-4,1,31,1
obl,3-4,16-20,"(4.22, 8.54]",5-6,3,34,3
obl,3-4,21-25,"(3.497, 4.22]",1-2,1,4,1
obl,3-4,21-25,"(3.497, 4.22]",3-4,1,19,1
obl,3-4,21-25,"(3.497, 4.22]",5-6,1,17,1
obl,3-4,21-25,"(4.22, 8.54]",1-2,2,3,2
obl,3-4,21-25,"(4.22, 8.54]",3-4,2,27,2
obl,3-4,26-30,"(3.497, 4.22]",3-4,1,12,1
obl,3-4,26-30,"(4.22, 8.54]",3-4,1,15,1
obl,3-4,26-30,"(4.22, 8.54]",5-6,2,16,2
obl,3-4,31-35,"(3.497, 4.22]",1-2,1,1,1
obl,3-4,31-35,"(3.497, 4.22]",5-6,2,6,2
obl,3-4,31-35,"(4.22, 8.54]",5-6,2,8,2
obl,3-4,36-40,"(2.833, 3.497]",5-6,1,1,1
obl,3-4,41-45,"(3.497, 4.22]",5-6,1,6,1
obl,3-4,6-10,"(0.692, 1.386]",5-6,3,13,3
obl,3-4,6-10,"(1.386, 2.197]",5-6,2,7,2
obl,3-4,6-10,"(2.197, 2.833]",5-6,1,10,1
obl,3-4,6-10,"(2.833, 3.497]",1-2,1,3,1
obl,3-4,6-10,"(2.833, 3.497]",5-6,2,20,2
obl,3-4,6-10,"(3.497, 4.22]",1-2,1,6,1
obl,3-4,6-10,"(3.497, 4.22]",3-4,4,52,4
obl,3-4,6-10,"(3.497, 4.22]",5-6,3,27,3
obl,3-4,6-10,"(4.22, 8.54]",1-2,1,12,1
obl,3-4,6-10,"(4.22, 8.54]",3-4,7,63,7
obl,3-4,6-10,"(4.22, 8.54]",5-6,5,45,5
obl,5-6,1-5,"(0.692, 1.386]",1-2,2,4,2
obl,5-6,1-5,"(0.692, 1.386]",3-4,2,10,2
obl,5-6,1-5,"(1.386, 2.197]",1-2,4,2,2
obl,5-6,1-5,"(1.386, 2.197]",3-4,3,5,3
obl,5-6,1-5,"(2.197, 2.833]",1-2,1,5,1
obl,5-6,1-5,"(2.197, 2.833]",3-4,3,4,3
obl,5-6,1-5,"(2.833, 3.497]",1-2,5,3,3
obl,5-6,1-5,"(2.833, 3.497]",3-4,5,4,4
obl,5-6,1-5,"(3.497, 4.22]",1-2,3,1,1
obl,5-6,1-5,"(3.497, 4.22]",3-4,6,14,6
obl,5-6,1-5,"(4.22, 8.54]",1-2,2,2,2
obl,5-6,1-5,"(4.22, 8.54]",3-4,10,6,6
obl,5-6,11-15,"(0.692, 1.386]",3-4,1,29,1
obl,5-6,11-15,"(0.692, 1.386]",5-6,1,25,1
obl,5-6,11-15,"(1.386, 2.197]",5-6,1,32,1
obl,5-6,11-15,"(2.197, 2.833]",5-6,1,33,1
obl,5-6,11-15,"(2.833, 3.497]",5-6,3,32,3
obl,5-6,11-15,"(3.497, 4.22]",3-4,3,23,3
obl,5-6,11-15,"(3.497, 4.22]",5-6,3,31,3
obl,5-6,11-15,"(4.22, 8.54]",1-2,1,7,1
obl,5-6,16-20,"(0.692, 1.386]",3-4,1,17,1
obl,5-6,16-20,"(1.386, 2.197]",3-4,1,34,1
obl,5-6,16-20,"(1.386, 2.197]",5-6,1,17,1
obl,5-6,16-20,"(2.197, 2.833]",1-2,1,2,1
obl,5-6,16-20,"(2.833, 3.497]",3-4,1,22,1
obl,5-6,16-20,"(2.833, 3.497]",5-6,1,21,1
obl,5-6,16-20,"(3.497, 4.22]",1-2,1,2,1
obl,5-6,16-20,"(3.497, 4.22]",3-4,1,27,1
obl,5-6,16-20,"(4.22, 8.54]",3-4,1,28,1
obl,5-6,16-20,"(4.22, 8.54]",5-6,1,35,1
obl,5-6,21-25,"(1.386, 2.197]",1-2,1,1,1
obl,5-6,21-25,"(1.386, 2.197]",5-6,1,8,1
obl,5-6,21-25,"(2.197, 2.833]",5-6,1,10,1
obl,5-6,21-25,"(4.22, 8.54]",5-6,1,14,1
obl,5-6,31-35,"(3.497, 4.22]",3-4,1,10,1
obl,5-6,31-35,"(4.22, 8.54]",5-6,1,6,1
obl,5-6,36-40,"(2.197, 2.833]",3-4,1,3,1
obl,5-6,46-50,"(4.22, 8.54]",5-6,1,2,1
obl,5-6,6-10,"(0.692, 1.386]",5-6,3,16,3
obl,5-6,6-10,"(1.386, 2.197]",1-2,1,5,1
obl,5-6,6-10,"(1.386, 2.197]",3-4,2,45,2
obl,5-6,6-10,"(1.386, 2.197]",5-6,3,19,3
obl,5-6,6-10,"(2.197, 2.833]",3-4,2,42,2
obl,5-6,6-10,"(2.197, 2.833]",5-6,3,27,3
obl,5-6,6-10,"(2.833, 3.497]",3-4,2,50,2
obl,5-6,6-10,"(2.833, 3.497]",5-6,4,26,4
obl,5-6,6-10,"(3.497, 4.22]",1-2,1,9,1
obl,5-6,6-10,"(3.497, 4.22]",3-4,6,56,6
obl,5-6,6-10,"(3.497, 4.22]",5-6,3,26,3
obl,5-6,6-10,"(4.22, 8.54]",3-4,2,73,2
