sentence_id,word_id,word,word_lower,pos,head_dist,abs_head_dist,direction,token_frequency,log_token_frequency,token_length,sentence_position,relation_type,token_length_bin,sentence_position_bin,abs_head_dist_bin,frequency_bin,matched_stratum_id
weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0162,6,habits,habits,NOUN,-5,5,After Head,3,1.3862943611198906,6,7,nsubj,5-6,6-10,5-6,"(0.692, 1.386]",175
email-enronsent37_01-0127,1,addition,addition,NOUN,4,4,Before Head,15,2.772588722239781,8,2,obl,7-8,1-5,3-4,"(2.197, 2.833]",467
answers-20111108091921AAaLK4e_ans-0016,5,week,week,NOUN,-2,2,After Head,89,4.499809670330265,4,6,obl:unmarked,3-4,6-10,1-2,"(4.22, 8.54]",320
weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0060,4,presence,presence,NOUN,1,1,Before Head,11,2.4849066497880004,8,5,nsubj,7-8,1-5,1-2,"(2.197, 2.833]",194
reviews-192713-0008,7,thanks,thanks,NOUN,6,6,Before Head,45,3.828641396489095,6,8,obl:unmarked,5-6,6-10,5-6,"(3.497, 4.22]",341
answers-20111108104551AAVAVQR_ans-0007,13,hope,hope,NOUN,-1,1,After Head,66,4.204692619390966,4,14,nsubj,3-4,11-15,1-2,"(3.497, 4.22]",93
answers-20111108103957AAcF3iZ_ans-0015,7,beats,beats,NOUN,-2,2,After Head,3,1.3862943611198906,5,9,obl:unmarked,5-6,6-10,1-2,"(0.692, 1.386]",338
reviews-358702-0002,4,locations,locations,NOUN,-3,3,After Head,7,2.0794415416798357,9,5,nsubj,9-10,1-5,3-4,"(1.386, 2.197]",242
email-enronsent41_01-0075,17,month,month,NOUN,2,2,Before Head,52,3.970291913552122,5,18,obl:unmarked,5-6,16-20,1-2,"(3.497, 4.22]",332
reviews-063963-0006,3,reason,reason,NOUN,4,4,Before Head,39,3.6888794541139363,6,4,obl,5-6,1-5,3-4,"(3.497, 4.22]",420
weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0016,26,talks,talks,NOUN,-3,3,After Head,7,2.0794415416798357,5,28,obj,5-6,26-30,3-4,"(1.386, 2.197]",285
email-enronsent38_01-0030,24,language,language,NOUN,3,3,Before Head,35,3.58351893845611,8,25,nsubj,7-8,21-25,3-4,"(3.497, 4.22]",221
reviews-292841-0004,1,rooms,rooms,NOUN,3,3,Before Head,16,2.833213344056216,5,2,nsubj,5-6,1-5,3-4,"(2.197, 2.833]",125
newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0005,9,demons,demons,NOUN,3,3,Before Head,2,1.0986122886681096,6,10,nsubj,5-6,6-10,3-4,"(0.692, 1.386]",174
newsgroup-groups.google.com_humanities.lit.authors.shakespeare_0018a7697318f71f_ENG_20031006_163200-0080,12,curate,curate,NOUN,-2,2,After Head,1,0.6931471805599453,6,13,nsubj,5-6,11-15,1-2,"(0.692, 1.386]",132
answers-20111108110437AA5JNkr_ans-0009,3,horses,horses,NOUN,-2,2,After Head,21,3.091042453358316,6,5,obl,5-6,1-5,1-2,"(2.833, 3.497]",417
reviews-071650-0015,3,places,places,NOUN,-2,2,After Head,49,3.912023005428146,6,4,nsubj,5-6,1-5,1-2,"(3.497, 4.22]",128
email-enronsent02_01-0044,23,Q1,q1,NOUN,-1,1,After Head,9,2.302585092994046,2,24,nmod:unmarked,1-2,21-25,1-2,"(2.197, 2.833]",22
answers-20111107175720AAlb2TB_ans-0003,4,spring,spring,NOUN,-3,3,After Head,18,2.9444389791664403,6,5,obl,5-6,1-5,3-4,"(2.833, 3.497]",418
answers-20111108100918AATaSIx_ans-0010,12,dempsey,dempsey,NOUN,5,5,Before Head,3,1.3862943611198906,7,13,nsubj,7-8,11-15,5-6,"(0.692, 1.386]",201
reviews-239035-0003,4,week,week,NOUN,-3,3,After Head,89,4.499809670330265,4,5,obl:unmarked,3-4,1-5,3-4,"(4.22, 8.54]",300
answers-20111108110012AAK8Azy_ans-0036,3,heat,heat,NOUN,4,4,Before Head,21,3.091042453358316,4,4,obl,3-4,1-5,3-4,"(2.833, 3.497]",368
weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0069,6,end,end,NOUN,-6,6,After Head,83,4.430816798843313,3,7,obl,3-4,6-10,5-6,"(4.22, 8.54]",410
newsgroup-groups.google.com_humanities.lit.authors.shakespeare_0018a7697318f71f_ENG_20031006_163200-0031,24,time,time,NOUN,2,2,Before Head,397,5.986452005284438,4,25,obl,3-4,21-25,1-2,"(4.22, 8.54]",390
newsgroup-groups.google.com_alt.animals.bear_395d998336aec581_ENG_20031225_105300-0023,12,kilometres,kilometres,NOUN,-2,2,After Head,3,1.3862943611198906,10,13,obl:unmarked,9-10,11-15,1-2,"(0.692, 1.386]",356
reviews-165018-0007,4,ounce,ounce,NOUN,-3,3,After Head,1,0.6931471805599453,5,5,nsubj,5-6,1-5,3-4,"(0.692, 1.386]",121
answers-20111108105520AA73Axw_ans-0047,6,level,level,NOUN,-3,3,After Head,36,3.6109179126442243,5,7,nsubj,5-6,6-10,3-4,"(3.497, 4.22]",184
newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0047,3,lot,lot,NOUN,-2,2,After Head,89,4.499809670330265,3,4,nsubj,3-4,1-5,1-2,"(4.22, 8.54]",89
reviews-280340-0002,6,restaurant,restaurant,NOUN,3,3,Before Head,43,3.784189633918261,10,7,nsubj,9-10,6-10,3-4,"(3.497, 4.22]",262
reviews-112579-0003,26,week,week,NOUN,-2,2,After Head,89,4.499809670330265,4,28,obl:unmarked,3-4,26-30,1-2,"(4.22, 8.54]",313
reviews-009970-0003,10,renovation,renovation,NOUN,6,6,Before Head,2,1.0986122886681096,10,11,obl,9-10,11-15,5-6,"(0.692, 1.386]",505
newsgroup-groups.google.com_IdeaStockExchange_c6ea783ac3f043ba_ENG_20041120_243700-0026,17,hostilities,hostilities,NOUN,1,1,Before Head,1,0.6931471805599453,11,18,nsubj,11-12,16-20,1-2,"(0.692, 1.386]",72
email-enronsent24_01-0095,11,problems,problems,NOUN,-2,2,After Head,46,3.8501476017100584,8,12,nsubj,7-8,11-15,1-2,"(3.497, 4.22]",207
answers-20111107152509AA78ktV_ans-0008,5,press,press,NOUN,-3,3,After Head,27,3.332204510175204,5,6,nsubj,5-6,6-10,3-4,"(2.833, 3.497]",182
answers-20111108105029AARU1Lf_ans-0021,2,meantime,meantime,NOUN,1,1,Before Head,4,1.6094379124341003,8,3,obl,7-8,1-5,1-2,"(1.386, 2.197]",464
answers-20111108111128AAwfype_ans-0016,3,link,link,NOUN,-3,3,After Head,19,2.995732273553991,4,4,nsubj,3-4,1-5,3-4,"(2.833, 3.497]",86
email-enronsent42_01-0022,8,sales,sales,NOUN,6,6,Before Head,21,3.091042453358316,5,9,obl,5-6,6-10,5-6,"(2.833, 3.497]",456
reviews-366946-0003,1,beers,beers,NOUN,2,2,Before Head,5,1.791759469228055,5,2,nsubj,5-6,1-5,1-2,"(1.386, 2.197]",122
weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0016,6,year,year,NOUN,2,2,Before Head,172,5.153291594497779,4,7,obl:unmarked,3-4,6-10,1-2,"(4.22, 8.54]",320
answers-20111108092321AAK0Eqp_ans-0024,1,parents,parents,NOUN,3,3,Before Head,28,3.367295829986474,7,2,nsubj,7-8,1-5,3-4,"(2.833, 3.497]",196
weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0277,5,system,system,NOUN,6,6,Before Head,52,3.970291913552122,6,6,nsubj,5-6,6-10,5-6,"(3.497, 4.22]",185
email-enronsent07_01-0027,37,generators,generators,NOUN,2,2,Before Head,14,2.70805020110221,10,38,nsubj,9-10,36-40,1-2,"(2.197, 2.833]",254
reviews-039856-0005,11,people,people,NOUN,-2,2,After Head,233,5.455321115357702,6,12,obl,5-6,11-15,1-2,"(4.22, 8.54]",430
answers-20111108101850AAhNuvz_ans-0004,30,run,run,NOUN,-5,5,After Head,47,3.8712010109078907,3,31,obl,3-4,31-35,5-6,"(3.497, 4.22]",396
weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0078,25,night,night,NOUN,-2,2,After Head,83,4.430816798843313,5,27,obl:unmarked,5-6,26-30,1-2,"(4.22, 8.54]",337
newsgroup-groups.google.com_Meditation20052_06390a5f75b2e1f2_ENG_20050316_091700-0038,15,earth,earth,NOUN,-2,2,After Head,13,2.639057329615259,5,16,nmod,5-6,16-20,1-2,"(2.197, 2.833]",39
reviews-229410-0008,20,design,design,NOUN,-3,3,After Head,19,2.995732273553991,6,21,nsubj,5-6,21-25,3-4,"(2.833, 3.497]",161
reviews-374604-0003,12,day,day,NOUN,-2,2,After Head,171,5.147494476813453,3,13,nsubj,3-4,11-15,1-2,"(4.22, 8.54]",95
newsgroup-groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900-0094,7,families,families,NOUN,-3,3,After Head,21,3.091042453358316,8,8,nsubj,7-8,6-10,3-4,"(2.833, 3.497]",235
weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0002,16,versions,versions,NOUN,-3,3,After Head,3,1.3862943611198906,8,17,nsubj,7-8,16-20,3-4,"(0.692, 1.386]",211
answers-20111108104352AASs5OZ_ans-0031,5,thing,thing,NOUN,-5,5,After Head,82,4.418840607796598,5,6,ccomp,5-6,6-10,5-6,"(4.22, 8.54]",13
email-enronsent43_01-0024,21,date,date,NOUN,-6,6,After Head,63,4.1588830833596715,4,22,nsubj,3-4,21-25,5-6,"(3.497, 4.22]",103
email-enronsent05_02-0023,18,users,users,NOUN,1,1,Before Head,6,1.9459101490553132,5,19,nsubj,5-6,16-20,1-2,"(1.386, 2.197]",146
answers-20111108092643AAXe4lD_ans-0018,1,couple,couple,NOUN,3,3,Before Head,51,3.9512437185814275,6,2,obl:unmarked,5-6,1-5,3-4,"(3.497, 4.22]",325
answers-20111108104015AAGxHNm_ans-0006,4,difference,difference,NOUN,-2,2,After Head,20,3.044522437723423,10,6,nsubj,9-10,6-10,1-2,"(2.833, 3.497]",261
reviews-103952-0003,4,time,time,NOUN,-2,2,After Head,397,5.986452005284438,4,5,obl:unmarked,3-4,1-5,1-2,"(4.22, 8.54]",299
newsgroup-groups.google.com_alt.animals_0e65f540816d780c_ENG_20041116_124800-0020,6,species,species,NOUN,-3,3,After Head,22,3.1354942159291497,7,7,obl,7-8,6-10,3-4,"(2.833, 3.497]",494
answers-20111108082831AAco5PI_ans-0034,19,rules,rules,NOUN,1,1,Before Head,18,2.9444389791664403,5,22,nsubj,5-6,21-25,1-2,"(2.833, 3.497]",160
reviews-317594-0005,9,wife,wife,NOUN,3,3,Before Head,26,3.295836866004329,4,10,nsubj,3-4,6-10,3-4,"(2.833, 3.497]",115
email-enronsent25_01-0012,15,way,way,NOUN,-2,2,After Head,204,5.3230099791384085,3,16,obl:unmarked,3-4,16-20,1-2,"(4.22, 8.54]",307
answers-20111108101300AAIAKXN_ans-0013,4,tournament,tournament,NOUN,-4,4,After Head,2,1.0986122886681096,10,5,obl,9-10,1-5,3-4,"(0.692, 1.386]",499
reviews-062167-0002,6,Coach,coach,NOUN,-5,5,After Head,2,1.0986122886681096,5,7,obl,5-6,6-10,5-6,"(0.692, 1.386]",449
reviews-156953-0003,3,school,school,NOUN,-2,2,After Head,56,4.04305126783455,6,4,obl,5-6,1-5,1-2,"(3.497, 4.22]",419
answers-20111108102810AAfCh1W_ans-0001,9,humans,humans,NOUN,1,1,Before Head,12,2.5649493574615367,6,10,nsubj,5-6,6-10,1-2,"(2.197, 2.833]",178
answers-20111108075853AAUIKRQ_ans-0014,4,order,order,NOUN,-4,4,After Head,76,4.343805421853684,5,5,obl,5-6,1-5,3-4,"(4.22, 8.54]",422
email-enronsent19_01-0002,7,list,list,NOUN,-3,3,After Head,59,4.0943445622221,4,8,obl,3-4,6-10,3-4,"(3.497, 4.22]",406
reviews-011257-0004,7,time,time,NOUN,-2,2,After Head,397,5.986452005284438,4,8,obl,3-4,6-10,1-2,"(4.22, 8.54]",408
weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0047,7,vessel,vessel,NOUN,1,1,Before Head,1,0.6931471805599453,6,8,nsubj,5-6,6-10,1-2,"(0.692, 1.386]",173
reviews-154157-0003,17,work,work,NOUN,3,3,Before Head,213,5.365976015021851,4,18,nsubj,3-4,16-20,3-4,"(4.22, 8.54]",101
email-enronsent37_01-0125,9,morning,morning,NOUN,6,6,Before Head,41,3.7376696182833684,7,10,nmod:unmarked,7-8,6-10,5-6,"(3.497, 4.22]",30
email-enronsent07_01-0051,4,place,place,NOUN,-2,2,After Head,186,5.231108616854587,5,5,obl,5-6,1-5,1-2,"(4.22, 8.54]",421
answers-20111108090524AAofoXT_ans-0002,19,hours,hours,NOUN,1,1,Before Head,51,3.9512437185814275,5,20,obl:unmarked,5-6,16-20,1-2,"(3.497, 4.22]",332
email-enronsent34_01-0011,12,lot,lot,NOUN,1,1,Before Head,89,4.499809670330265,3,14,obl:unmarked,3-4,11-15,1-2,"(4.22, 8.54]",303
email-enronsent06_01-0061,3,review,review,NOUN,-3,3,After Head,61,4.127134385045092,6,4,obl,5-6,1-5,3-4,"(3.497, 4.22]",420
email-enronsent38_01-0012,5,line,line,NOUN,4,4,Before Head,56,4.04305126783455,4,6,obl,3-4,6-10,3-4,"(3.497, 4.22]",406
newsgroup-groups.google.com_alt.animals_02c2d614bfbf6b20_ENG_20050223_232900-0019,13,wolves,wolves,NOUN,-4,4,After Head,19,2.995732273553991,6,14,nsubj,5-6,11-15,3-4,"(2.833, 3.497]",140
email-enronsent15_01-0005,19,times,times,NOUN,3,3,Before Head,69,4.248495242049359,5,20,obl,5-6,16-20,3-4,"(4.22, 8.54]",439
reviews-181748-0008,13,test,test,NOUN,1,1,Before Head,38,3.6635616461296463,4,14,obl:unmarked,3-4,11-15,1-2,"(3.497, 4.22]",301
email-enronsent40_01-0072,8,proposal,proposal,NOUN,-2,2,After Head,7,2.0794415416798357,8,9,nsubj,7-8,6-10,1-2,"(1.386, 2.197]",228
reviews-063963-0003,9,year,year,NOUN,1,1,Before Head,172,5.153291594497779,4,10,obl:unmarked,3-4,6-10,1-2,"(4.22, 8.54]",320
answers-20111108091921AAaLK4e_ans-0057,34,date,date,NOUN,-5,5,After Head,63,4.1588830833596715,4,35,obl,3-4,31-35,5-6,"(3.497, 4.22]",396
newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0007,2,days,days,NOUN,3,3,Before Head,106,4.672828834461906,4,3,obl,3-4,1-5,3-4,"(4.22, 8.54]",372
newsgroup-groups.google.com_herpesnation_c74170a0fcfdc880_ENG_20051125_075200-0006,3,life,life,NOUN,-3,3,After Head,80,4.394449154672439,4,4,obl,3-4,1-5,3-4,"(4.22, 8.54]",372
email-enronsent06_01-0069,14,week,week,NOUN,-3,3,After Head,89,4.499809670330265,4,15,nmod:unmarked,3-4,11-15,3-4,"(4.22, 8.54]",26
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0064,10,duties,duties,NOUN,-4,4,After Head,2,1.0986122886681096,6,11,obl,5-6,11-15,3-4,"(0.692, 1.386]",423
weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0023,10,means,means,NOUN,-3,3,After Head,47,3.8712010109078907,5,12,obl,5-6,11-15,3-4,"(3.497, 4.22]",428
email-enronsent24_01-0075,4,machine,machine,NOUN,-3,3,After Head,8,2.1972245773362196,7,5,obj,7-8,1-5,3-4,"(1.386, 2.197]",290
weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0119,7,children,children,NOUN,-3,3,After Head,43,3.784189633918261,8,8,obl,7-8,6-10,3-4,"(3.497, 4.22]",497
weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0152,2,members,members,NOUN,3,3,Before Head,42,3.7612001156935624,7,3,nsubj,7-8,1-5,3-4,"(3.497, 4.22]",198
reviews-165143-0005,1,decor,decor,NOUN,1,1,Before Head,7,2.0794415416798357,5,2,nsubj,5-6,1-5,1-2,"(1.386, 2.197]",122
answers-20111108105749AABv7vx_ans-0004,7,years,years,NOUN,-5,5,After Head,150,5.017279836814924,5,8,obl,5-6,6-10,5-6,"(4.22, 8.54]",461
weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0052,5,officials,officials,NOUN,6,6,Before Head,30,3.4339872044851463,9,6,obl,9-10,6-10,5-6,"(2.833, 3.497]",514
email-enronsent14_01-0018,3,resume,resume,NOUN,-3,3,After Head,7,2.0794415416798357,6,4,nsubj:pass,5-6,1-5,3-4,"(1.386, 2.197]",56
answers-20111107175720AAlb2TB_ans-0001,4,time,time,NOUN,-4,4,After Head,397,5.986452005284438,4,5,nsubj,3-4,1-5,3-4,"(4.22, 8.54]",90
weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0133,12,day,day,NOUN,-2,2,After Head,171,5.147494476813453,3,13,obl:unmarked,3-4,11-15,1-2,"(4.22, 8.54]",303
email-enronsent11_01-0065,8,shares,shares,NOUN,-2,2,After Head,3,1.3862943611198906,6,9,nsubj,5-6,6-10,1-2,"(0.692, 1.386]",173
answers-20111108105029AARU1Lf_ans-0014,3,blood,blood,NOUN,-1,1,After Head,19,2.995732273553991,5,4,nsubj,5-6,1-5,1-2,"(2.833, 3.497]",126
email-enronsent00_01-0014,5,long,long,NOUN,5,5,Before Head,114,4.74493212836325,4,6,obl,3-4,6-10,5-6,"(4.22, 8.54]",410
email-enronsent24_01-0063,3,form,form,NOUN,4,4,Before Head,40,3.713572066704308,4,4,nsubj,3-4,1-5,3-4,"(3.497, 4.22]",88
reviews-278775-0005,7,strategies,strategies,NOUN,-5,5,After Head,4,1.6094379124341003,10,8,obl,9-10,6-10,5-6,"(1.386, 2.197]",511
email-enronsent24_01-0088,9,language,language,NOUN,-6,6,After Head,35,3.58351893845611,8,10,obl,7-8,6-10,5-6,"(3.497, 4.22]",498
reviews-128168-0009,5,mins.,mins.,NOUN,-2,2,After Head,1,0.6931471805599453,5,6,obl:unmarked,5-6,6-10,1-2,"(0.692, 1.386]",338
