feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,scope,layer,positive_minus_negative,ci_low,ci_high,se,p_value_two_sided,n_layers,n_positive_layers,n_supported_positive_layers,n_supported_negative_layers,support,ci_method
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,last_layer,12.0,14.398676412906411,13.564069081150182,15.233283744662641,0.4258200672225663,1.2283867925146684e-250,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,layer_mean,,98.97600310946049,98.3795108643674,99.57249535455358,0.30433277810871856,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,last_layer,12.0,5.654594559627736,4.984350422777521,6.324838696477951,0.3419612943113342,2.027581539932132e-61,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,layer_mean,,3.9067951746199943,3.7057872871683486,4.10780306207164,0.1025550446181866,1.5730077e-317,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,last_layer,12.0,-9.958869743396373e-05,-0.00011777135850529871,-8.140603636262874e-05,9.27686789353826e-06,6.959535429589069e-27,1,0,0,1,supports_negative_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,layer_mean,,0.013120527644858134,0.013019477327707548,0.01322157796200872,5.1556284260502336e-05,0.0,13,12,12,1,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,last_layer,12.0,45.61036355456889,37.56849420910125,53.65223290003653,4.1029945640141,1.0444722194765119e-28,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,layer_mean,,96.3696785932741,95.48530098271863,97.25405620382958,0.45121306660993876,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,last_layer,12.0,1.3020250544047531,1.1841372862191106,1.4199128225903956,0.06014682050287888,6.42429565643417e-104,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,layer_mean,,3.5110365066843747,3.35129599324651,3.6707770201222396,0.0815002619580943,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,last_layer,12.0,-0.008627335319136138,-0.009031588482429744,-0.008223082155842531,0.00020625161392530964,0.0,1,0,0,1,supports_negative_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,layer_mean,,0.00011289230855884926,-3.104509676237788e-05,0.0002568297138800764,7.343745169450364e-05,0.12423014734845135,13,7,5,6,inconclusive,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,last_layer,12.0,22.005647523174844,21.237957919851755,22.773337126497932,0.39167836904239145,0.0,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,layer_mean,,43.61248446586872,43.09823720367392,44.12673172806352,0.2623710521402039,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,last_layer,12.0,4.030601954501051,3.1450194660917044,4.9161844429103985,0.45182780020885066,4.635196868570468e-19,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,layer_mean,,8.121969417644555,7.8329720861046,8.410966749184512,0.14744761813263046,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,last_layer,12.0,0.00025405885279821674,0.00024045552121956318,0.00026766218437687027,6.940475295231405e-06,2.3470506731505475e-293,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,layer_mean,,0.004016400913098092,0.003924304528509993,0.004108497297686191,4.698795132045868e-05,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,last_layer,12.0,148.02661433633017,132.739996111384,163.31323256127635,7.799295012727648,2.520472904815797e-80,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,layer_mean,,234.44377129021765,233.1615046532029,235.7260379272324,0.654217671946298,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,last_layer,12.0,4.138351163227597,3.50280004751777,4.773902278937424,0.3242607733213404,2.658234653251819e-37,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,layer_mean,,10.168552672532362,9.825998522298125,10.5111068227666,0.17477252562971318,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,last_layer,12.0,0.017222979769318143,0.01660743431390972,0.017838525224726568,0.00031405380377980775,0.0,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,layer_mean,,0.006874296646821658,0.00665343481886354,0.007095158474779776,0.00011268460610108063,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,last_layer,12.0,-3.5455814607381626,-3.966119797334846,-3.125043124141479,0.21456037581463436,2.4297919987455796e-61,1,0,0,1,supports_negative_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,layer_mean,,2.8279737277678385,2.647921008329461,3.008026447206216,0.0918636323665191,4.228651757586149e-208,13,5,5,7,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,last_layer,12.0,5.883216199013376,5.392386709178557,6.374045688848194,0.25042320909939714,4.798615318421376e-122,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,layer_mean,,3.554847413496581,3.2546706838061867,3.8550241431869754,0.15315139269918085,3.4988767815454686e-119,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,last_layer,12.0,-0.00017029485623132855,-0.00018993538716601636,-0.00015065432529664074,1.0020679048310105e-05,9.043806546727198e-65,1,0,0,1,supports_negative_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,layer_mean,,0.0031179264080896806,0.0030218727396372604,0.0032139800765421007,4.9006973700214456e-05,0.0,13,10,10,3,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,last_layer,12.0,-30.55089543506125,-38.05908120253615,-23.04270966758635,3.830707024221887,1.5205685512582955e-15,1,0,0,1,supports_negative_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,layer_mean,,-5.9316438483299185,-6.566126019205216,-5.297161677454621,0.3237153933037232,5.360611093106803e-75,13,3,3,10,supports_negative_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,last_layer,12.0,1.1201030464362738,0.9929477449111254,1.2472583479614223,0.06487515383936146,8.553492953532011e-67,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,layer_mean,,2.3223452028574485,2.1089920901210304,2.5356983155938666,0.10885362894715217,5.424267196424274e-101,13,13,8,0,supports_positive_group_greater,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,last_layer,12.0,0.007948486645967996,0.0074058804710394385,0.008491092820896553,0.0002768398851676313,2.741939415563215e-181,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,layer_mean,,-3.476853173587134e-05,-0.00017421095558516118,0.00010467389211341852,7.114409380065809e-05,0.6250499923879655,13,7,7,6,inconclusive,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,last_layer,12.0,11.907147057343423,11.151718222480616,12.66257589220623,0.3854228749300033,1.450448817296925e-209,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,layer_mean,,-15.470556937605474,-15.978708022076432,-14.962405853134516,0.25926075738314175,0.0,13,7,7,6,supports_negative_group_greater,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,last_layer,12.0,-0.9674465411356579,-1.576035959490304,-0.3588571227810118,0.3105048052829827,0.001834953950281464,1,0,0,1,supports_negative_group_greater,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,layer_mean,,-5.307671599011381,-5.554202024459117,-5.061141173563645,0.12578082931006923,0.0,13,0,0,13,supports_negative_group_greater,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,last_layer,12.0,0.00012268094307967014,0.00010887553747663533,0.00013648634868270495,7.043574287262657e-06,6.085246389373115e-68,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,layer_mean,,0.004927686406268473,0.0048538796885234025,0.005001493124013544,3.765648864544449e-05,0.0,13,10,9,3,supports_positive_group_greater,normal_approx_from_contrast_ci
