model_bert,feature,feature_label,metric_label,metric_source_bert,class,layer,bert_mean,ci_low_bert,ci_high_bert,n_tokens_bert,source_csv_bert,model_gpt,metric_source_gpt,gpt_mean,ci_low_gpt,ci_high_gpt,n_tokens_gpt,source_csv_gpt,delta_gpt_minus_bert,abs_delta,ratio_gpt_to_bert
BERT,head_dist,Head distance,IsoScore,iso,-6,12,0.0044500795193016,0.0044017559848725,0.0045177126303315,19585,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0016801336314529,0.001663759117946,0.0016973097808659,19585,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.0027699458878487,0.0027699458878487,0.37755137277110545
BERT,head_dist,Head distance,IsoScore,iso,-5,12,0.0117207765579223,0.0108813839033246,0.0126536386087536,4545,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0017592769581824,0.001694678212516,0.0018135992577299,4545,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.0099614995997399,0.0099614995997399,0.15009901003472934
BERT,head_dist,Head distance,IsoScore,iso,-4,12,0.0166005548089742,0.0154218021780252,0.0179027374833822,6684,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0017386669060215,0.0016939209308475,0.0017890760209411,6684,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.0148618879029527,0.0148618879029527,0.10473546974957626
BERT,head_dist,Head distance,IsoScore,iso,-3,12,0.0249901078641414,0.02320790104568,0.0270352195948362,10487,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0017706109210848,0.0017372027505189,0.0017962199635803,10487,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.023219496943056597,0.023219496943056597,0.07085247213460293
BERT,head_dist,Head distance,IsoScore,iso,-2,12,0.0387647040188312,0.0380114428699016,0.0399167947471141,15690,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.001783144311048,0.0017624836182221,0.0018051551887765,15690,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.0369815597077832,0.0369815597077832,0.04599917260252472
BERT,head_dist,Head distance,IsoScore,iso,-1,12,0.011731319129467,0.0113042099401354,0.012131305411458,13038,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.001820936333388,0.0017834653845056,0.001861213822849,13038,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.009910382796079,0.009910382796079,0.1552200833761422
BERT,head_dist,Head distance,IsoScore,iso,1,12,0.030463745817542,0.0298214592039585,0.0310443695634603,57036,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0018821635749191,0.001874865614809,0.0018894165987148,53836,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.0285815822426229,0.0285815822426229,0.0617837210890622
BERT,head_dist,Head distance,IsoScore,iso,2,12,0.0254697315394878,0.0248774103820323,0.0263205152004957,28588,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0018797754310071,0.0018667849944904,0.0018925089389085,26199,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.0235899561084807,0.0235899561084807,0.07380428914583301
BERT,head_dist,Head distance,IsoScore,iso,3,12,0.021258158609271,0.0204940494149923,0.0219812449067831,13592,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0018807011656463,0.0018654197920113,0.0019013339187949,12161,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.0193774574436247,0.0193774574436247,0.08846961772249165
BERT,head_dist,Head distance,IsoScore,iso,4,12,0.0182414334267377,0.0166604258120059,0.0197081081569194,6439,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0018888446502387,0.0018453643424436,0.001928896876052,5719,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.016352588776499,0.016352588776499,0.10354694206597236
BERT,head_dist,Head distance,IsoScore,iso,5,12,0.0129754515364766,0.011902691796422,0.0144291091710329,3249,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0019056174205616,0.0018512131646275,0.0019698448013514,2883,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.011069834115915,0.011069834115915,0.1468632837327107
BERT,head_dist,Head distance,IsoScore,iso,6,12,0.0149681977927684,0.0140445930883288,0.0159446820616722,5937,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv,GPT,iso,0.0017572661163285,0.0017268370138481,0.0017931243637576,5107,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,-0.013210931676439901,0.013210931676439901,0.11739997965402953
BERT,head_dist,Head distance,LID,lpca99,-6,12,655.0,653.0,657.5250244140625,19585,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,104.8000030517578,97.4499969482422,111.0,19585,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-550.1999969482422,550.1999969482422,0.16000000465917222
BERT,head_dist,Head distance,LID,lpca99,-5,12,663.2000122070312,661.4749755859375,664.0,4545,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,175.52000427246094,158.6750030517578,193.5500030517578,4545,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-487.6800079345703,487.6800079345703,0.26465621387484056
BERT,head_dist,Head distance,LID,lpca99,-4,12,677.6500244140625,676.0,679.0,6684,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,188.8999938964844,173.22500610351562,204.0,6684,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-488.7500305175781,488.7500305175781,0.27875745162087
BERT,head_dist,Head distance,LID,lpca99,-3,12,684.9000244140625,684.0,685.5250244140625,10487,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,209.5800018310547,198.4499969482422,217.0,10487,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-475.3200225830078,475.3200225830078,0.30600086780600144
BERT,head_dist,Head distance,LID,lpca99,-2,12,689.4500122070312,689.0,690.0,15690,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,227.16000366210932,218.2250061035156,234.0,15690,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-462.29000854492193,462.29000854492193,0.3294800197840836
BERT,head_dist,Head distance,LID,lpca99,-1,12,677.3499755859375,676.4749755859375,678.0,13038,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,174.72000122070312,163.22500610351562,188.1000061035156,13038,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-502.6299743652344,502.6299743652344,0.25794641989846184
BERT,head_dist,Head distance,LID,lpca99,1,12,693.1500244140625,693.0,694.0,57036,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,291.5400085449219,288.2250061035156,295.7749938964844,53836,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-401.6100158691406,401.6100158691406,0.4206015988982589
BERT,head_dist,Head distance,LID,lpca99,2,12,688.3499755859375,688.0,689.0,28588,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,242.77999877929688,238.0,247.0,26199,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-445.5699768066406,445.5699768066406,0.3526984926129148
BERT,head_dist,Head distance,LID,lpca99,3,12,681.3499755859375,680.4749755859375,682.0,13592,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,198.8800048828125,193.2250061035156,204.7749938964844,12161,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-482.469970703125,482.469970703125,0.29189111617973207
BERT,head_dist,Head distance,LID,lpca99,4,12,669.0,668.0,670.0,6439,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,165.1999969482422,153.4499969482422,175.0,5719,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-503.8000030517578,503.8000030517578,0.24693572040095993
BERT,head_dist,Head distance,LID,lpca99,5,12,630.9500122070312,628.4749755859375,634.0499877929688,3249,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,142.10000610351562,125.125,155.0,2883,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-488.8500061035156,488.8500061035156,0.22521594952737536
BERT,head_dist,Head distance,LID,lpca99,6,12,664.4000244140625,663.0,665.0,5937,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,GPT,pca99,119.68000030517578,112.0,129.5500030517578,5107,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,-544.7200241088867,544.7200241088867,0.18013244417129895
BERT,head_dist,Head distance,NLID,gride,-6,12,19.305774688720703,18.69178581237793,20.134361267089844,19585,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,GPT,gride,7.471240043640137,7.350174903869629,7.5868821144104,19585,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv,-11.834534645080566,11.834534645080566,0.38699509157771167
BERT,head_dist,Head distance,NLID,gride,-5,12,22.811967849731445,21.241254806518555,24.34620475769043,4545,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,GPT,gride,8.126812934875488,7.944160461425781,8.37896728515625,4545,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv,-14.685154914855957,14.685154914855957,0.3562521650218423
BERT,head_dist,Head distance,NLID,gride,-4,12,24.158823013305664,23.37862014770508,25.29532241821289,6684,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,GPT,gride,8.70834732055664,8.515290260314941,8.88737964630127,6684,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv,-15.450475692749023,15.450475692749023,0.3604623998346463
BERT,head_dist,Head distance,NLID,gride,-3,12,26.038070678710938,24.8728141784668,26.64877891540528,10487,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,GPT,gride,9.035741806030272,8.911847114562988,9.16817855834961,10487,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv,-17.002328872680664,17.002328872680664,0.34702040398937894
BERT,head_dist,Head distance,NLID,gride,-2,12,26.021108627319336,24.25906181335449,28.1646728515625,15690,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,GPT,gride,9.164647102355955,8.973573684692383,9.373088836669922,15690,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv,-16.85646152496338,16.85646152496338,0.3522004859060491
BERT,head_dist,Head distance,NLID,gride,-1,12,16.36886215209961,15.744309425354004,16.921985626220703,13038,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,GPT,gride,7.521896362304687,7.384600162506103,7.635350227355957,13038,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv,-8.846965789794922,8.846965789794922,0.45952469343386
